"Rank","Name","GM","W-L","OPP FG","OPP FGA","OPP FG%"
"133","Louisiana Tech","32","23-9","833","1948","42.8"
"134","West Virginia","34","26-8","709","1658","42.8"
"135","Montana","32","21-11","719","1680","42.8"
"136","Notre Dame","32","21-11","821","1918","42.8"
"137","Ole Miss","32","20-12","779","1819","42.8"
"138","Vermont","34","21-13","834","1947","42.8"
"139","Cal St. Fullerton","30","10-20","752","1755","42.8"
"140","Sacramento St.","31","14-17","789","1839","42.9"
"141","Western Ill.","27","10-17","647","1508","42.9"
"142","Wisconsin","32","20-12","732","1705","42.9"
"143","UCLA","32","15-17","860","2002","43.0"
"144","Miami (FL)","32","25-7","790","1839","43.0"
"145","Air Force","32","14-18","784","1823","43.0"
"146","Mississippi St.","31","14-17","791","1837","43.1"
"147","San Jose St.","31","9-22","761","1767","43.1"
"148","N.C. Central","32","13-19","770","1787","43.1"
"149","Butler","31","21-10","764","1773","43.1"
"150","UMKC","31","12-19","734","1703","43.1"
"151","Bowling Green","34","16-18","853","1979","43.1"
"152","Boston U.","32","18-14","819","1899","43.1"
"153","Buffalo","34","20-14","882","2044","43.2"
"154","Bethune-Cookman","32","14-18","830","1923","43.2"
"155","New Hampshire","31","19-12","765","1771","43.2"
"156","UT Martin","33","19-14","830","1920","43.2"
"157","Savannah St.","31","16-15","708","1636","43.3"
"158","Virginia Tech","33","19-14","853","1971","43.3"
"159","Western Caro.","33","16-17","802","1852","43.3"
"160","Loyola Chicago","32","15-17","726","1676","43.3"
"161","Morehead St.","31","19-12","666","1537","43.3"
"162","Saint Louis","32","11-21","780","1800","43.3"
"","Tulane","34","12-22","845","1950","43.3"
"164","George Washington","33","23-10","830","1915","43.3"
"165","ETSU","34","23-11","851","1963","43.4"
"166","Kansas St.","33","17-16","776","1789","43.4"
"167","Oakland","32","21-11","898","2069","43.4"
"168","Chattanooga","34","29-5","829","1910","43.4"
"169","Robert Morris","32","10-22","800","1843","43.4"
"170","Miami (OH)","33","13-20","748","1723","43.4"
"171","St. Bonaventure","30","22-8","758","1746","43.4"
"172","Delaware St.","32","7-25","791","1821","43.4"
"173","Providence","33","23-10","850","1956","43.5"
"174","Wyoming","31","13-18","764","1758","43.5"
"175","Binghamton","30","8-22","728","1675","43.5"
"176","Toledo","32","17-15","815","1874","43.5"
"177","North Dakota","32","17-15","802","1844","43.5"
"178","Fairfield","32","19-13","876","2014","43.5"
"179","Furman","33","18-15","767","1763","43.5"
"180","Iowa St.","32","21-11","903","2075","43.5"
"181","Hofstra","33","24-9","921","2116","43.5"
"182","Delaware","30","7-23","784","1801","43.5"
"183","Arkansas","32","16-16","803","1844","43.5"
"184","Lehigh","32","17-15","795","1825","43.6"
"185","Houston Baptist","33","17-16","883","2027","43.6"
"186","Princeton","28","22-6","709","1627","43.6"
"187","Pittsburgh","32","21-11","781","1791","43.6"
"188","Southern Miss.","29","8-21","687","1575","43.6"
"189","Texas Southern","32","18-14","843","1931","43.7"
"190","Ohio","32","21-11","833","1908","43.7"
"191","La.-Lafayette","31","17-14","799","1830","43.7"
"192","Ga. Southern","31","14-17","770","1763","43.7"
"193","Pepperdine","31","18-13","810","1850","43.8"
"194","SFA","32","27-5","719","1642","43.8"
"195","North Carolina St.","33","16-17","883","2016","43.8"
"196","Nebraska","34","16-18","799","1823","43.8"
"197","Brown","28","8-20","757","1726","43.9"
"198","Belmont","31","20-11","843","1922","43.9"
"199","Creighton","32","18-14","838","1910","43.9"
"200","Ark.-Pine Bluff","33","8-25","747","1701","43.9"
"201","Bradley","32","5-27","737","1678","43.9"
"202","Long Beach St.","34","20-14","854","1944","43.9"
"203","Tennessee Tech","30","19-11","806","1832","44.0"
"204","VCU","34","24-10","818","1859","44.0"
"205","San Francisco","30","15-15","811","1843","44.0"
"206","Santa Clara","31","11-20","781","1774","44.0"
"207","Wake Forest","31","11-20","847","1923","44.0"
"208","CSUN","30","10-20","799","1814","44.0"
"209","UNCG","32","14-18","788","1789","44.0"
"210","Sam Houston St.","34","18-16","796","1807","44.1"
"211","Columbia","31","21-10","744","1688","44.1"
