"Rank","Name","GM","W-L","3FG","3FGA","3FG%"
"","Missouri","31","10-21","175","565","31.0"
"309","Minnesota","31","8-23","191","617","31.0"
"310","St. Francis Brooklyn","32","15-17","240","776","30.9"
"311","Troy","31","9-22","208","674","30.9"
"312","Hampton","31","21-10","203","659","30.8"
"313","San Jose St.","31","9-22","212","689","30.8"
"314","Miami (OH)","33","13-20","178","582","30.6"
"315","La.-Lafayette","31","17-14","200","654","30.6"
"316","Nicholls St.","34","11-23","212","694","30.5"
"317","Penn","28","11-17","200","656","30.5"
"318","SIUE","28","6-22","158","519","30.4"
"319","Chicago St.","32","4-28","228","750","30.4"
"320","Loyola Maryland","30","9-21","161","530","30.4"
"321","Ark.-Pine Bluff","33","8-25","202","666","30.3"
"322","Indiana St.","32","15-17","210","693","30.3"
"323","Florida A&M","29","8-21","168","555","30.3"
"324","Ill.-Chicago","30","5-25","133","440","30.2"
"325","Old Dominion","35","22-13","143","475","30.1"
"326","Morgan St.","31","9-22","161","535","30.1"
"327","Navy","33","19-14","141","469","30.1"
"328","Tulane","34","12-22","216","719","30.0"
"329","Southeast Mo. St.","29","5-24","154","513","30.0"
"330","Kansas St.","33","17-16","175","583","30.0"
"331","Mississippi Val.","34","7-27","172","578","29.8"
"332","LIU Brooklyn","31","16-15","179","603","29.7"
"333","CSUN","30","10-20","126","425","29.6"
"334","Howard","32","12-20","144","486","29.6"
"335","Presbyterian","31","11-20","148","502","29.5"
"336","George Mason","32","11-21","172","589","29.2"
"337","Alabama A&M","29","11-18","175","600","29.2"
"338","Nevada","32","19-13","163","567","28.7"
"339","South Fla.","33","8-25","133","465","28.6"
"340","Binghamton","30","8-22","171","599","28.5"
"341","San Diego","30","9-21","192","673","28.5"
"342","Niagara","32","7-25","166","589","28.2"
"343","Bradley","32","5-27","165","590","28.0"
"344","Robert Morris","32","10-22","178","645","27.6"
"345","Grambling","30","7-23","147","534","27.5"
"346","Prairie View","31","7-24","127","467","27.2"
"NR","Incarnate Word","29","17-12","234","621","37.7"
"NR","Grand Canyon","32","26-6","200","541","37.0"
"NR","Abilene Christian","31","13-18","209","570","36.7"
"NR","UMass Lowell","29","11-18","240","659","36.4"
"NR","Northern Ky.","30","9-21","234","656","35.7"
