"Rank","Name","GM","W-L","Fouls","PFPG","DQ"
"319","Fairleigh Dickinson","32","18-14","695","21.7","22"
"320","Chicago St.","32","4-28","697","21.8","17"
"","Portland","32","12-20","697","21.8","17"
"322","Fresno St.","34","25-9","741","21.8","27"
"323","Wagner","32","22-10","698","21.8","13"
"324","Drexel","31","6-25","677","21.8","20"
"325","Sam Houston St.","34","18-16","743","21.9","21"
"326","Ark.-Pine Bluff","33","8-25","724","21.9","18"
"327","UTSA","32","5-27","704","22.0","18"
"","Wright St.","35","22-13","770","22.0","16"
"329","Montana St.","31","14-17","683","22.0","14"
"330","SIUE","28","6-22","619","22.1","19"
"331","DePaul","31","9-22","686","22.1","8"
"332","San Jose St.","31","9-22","687","22.2","16"
"333","Ga. Southern","31","14-17","691","22.3","19"
"","Prairie View","31","7-24","691","22.3","17"
"335","N.C. A&T","32","10-22","718","22.4","24"
"336","Northern Colo.","31","10-21","704","22.7","31"
"337","Pacific","28","8-20","637","22.8","22"
"338","Detroit","31","16-15","708","22.8","20"
"339","Georgetown","33","15-18","755","22.9","24"
"340","Morehead St.","31","19-12","710","22.9","20"
"341","Bradley","32","5-27","744","23.3","29"
"342","Lamar","30","11-19","699","23.3","20"
"343","West Virginia","34","26-8","795","23.4","17"
"344","UNCW","32","25-7","761","23.8","22"
"345","Washington","32","18-14","769","24.0","45"
"346","The Citadel","32","10-22","771","24.1","19"
"NR","Incarnate Word","29","17-12","539","18.6","15"
"NR","Grand Canyon","32","26-6","596","18.6","11"
"NR","Northern Ky.","30","9-21","615","20.5","6"
"NR","UMass Lowell","29","11-18","598","20.6","12"
"NR","Abilene Christian","31","13-18","681","22.0","21"
