"Rank","Name","GM","W-L","OPP PTS","OPP PPG"
"324","Green Bay","35","23-12","2788","79.7"
"325","Charlotte","33","14-19","2631","79.7"
"326","Portland","32","12-20","2552","79.8"
"327","Washington","32","18-14","2553","79.8"
"328","Northern Colo.","31","10-21","2482","80.1"
"329","Rutgers","32","7-25","2571","80.3"
"330","Lafayette","30","6-24","2412","80.4"
"331","Rice","32","12-20","2576","80.5"
"332","Coppin St.","31","9-22","2497","80.5"
"333","UMBC","32","7-25","2579","80.6"
"334","Omaha","31","18-13","2499","80.6"
"335","Northern Ariz.","30","5-25","2438","81.3"
"336","Lipscomb","33","12-21","2689","81.5"
"337","Southern Utah","29","5-24","2388","82.3"
"338","Stetson","34","12-22","2807","82.6"
"339","Detroit","31","16-15","2567","82.8"
"340","Central Ark.","28","7-21","2344","83.7"
"341","Youngstown St.","32","11-21","2682","83.8"
"342","UTSA","32","5-27","2698","84.3"
"343","Marshall","33","17-16","2801","84.9"
"344","Northwestern St.","28","8-20","2413","86.2"
"345","Maine","30","8-22","2606","86.9"
"346","The Citadel","32","10-22","2962","92.6"
"NR","Grand Canyon","32","26-6","2202","68.8"
"NR","Abilene Christian","31","13-18","2272","73.3"
"NR","Incarnate Word","29","17-12","2140","73.8"
"NR","Northern Ky.","30","9-21","2233","74.4"
"NR","UMass Lowell","29","11-18","2401","82.8"
