"Rank","Name","GM","W-L","FT","FTA","FT%"
"","Seattle","30","14-16","378","567","66.7"
"","Col. of Charleston","31","17-14","378","567","66.7"
"","Northwestern","32","20-12","352","528","66.7"
"293","UTEP","33","19-14","539","809","66.6"
"294","Seton Hall","33","25-8","524","787","66.6"
"295","Texas","32","20-12","482","725","66.5"
"296","LSU","33","19-14","569","856","66.5"
"297","Yale","28","22-6","436","657","66.4"
"298","FIU","32","13-19","428","645","66.4"
"299","N.C. Central","32","13-19","462","697","66.3"
"300","San Diego","30","9-21","370","559","66.2"
"301","Bradley","32","5-27","416","629","66.1"
"302","Elon","32","16-16","396","599","66.1"
"303","Richmond","32","16-16","430","651","66.1"
"304","South Fla.","33","8-25","404","612","66.0"
"305","Wake Forest","31","11-20","514","779","66.0"
"306","San Jose St.","31","9-22","462","701","65.9"
"307","Portland St.","31","13-18","425","645","65.9"
"308","Green Bay","35","23-12","648","984","65.9"
"309","Central Ark.","28","7-21","457","694","65.9"
"310","Saint Peter's","30","14-16","383","582","65.8"
"311","Hampton","31","21-10","529","805","65.7"
"312","Bowling Green","34","16-18","499","760","65.7"
"313","California","33","23-10","512","780","65.6"
"314","Maine","30","8-22","401","611","65.6"
"315","Eastern Ill.","30","13-17","385","588","65.5"
"316","Nicholls St.","34","11-23","512","782","65.5"
"317","Savannah St.","31","16-15","431","659","65.4"
"318","Gardner-Webb","33","17-16","458","701","65.3"
"319","CSU Bakersfield","32","24-8","465","712","65.3"
"320","Cornell","28","10-18","353","542","65.1"
"321","Radford","31","16-15","352","541","65.1"
"322","Boston College","32","7-25","294","452","65.0"
"323","FGCU","33","20-13","466","720","64.7"
"324","Quinnipiac","30","9-21","344","532","64.7"
"325","Grambling","30","7-23","440","683","64.4"
"326","North Texas","32","12-20","539","838","64.3"
"327","Bryant","31","8-23","310","482","64.3"
"328","Florida","33","19-14","524","815","64.3"
"329","Troy","31","9-22","457","713","64.1"
"330","Southeast Mo. St.","29","5-24","392","612","64.1"
"331","Navy","33","19-14","479","748","64.0"
"332","Alabama","32","18-14","446","697","64.0"
"333","UC Davis","30","11-19","356","557","63.9"
