"Rank","Name","GM","W-L","Opp TO","TO","Ratio"
"263","N.C. A&T","32","10-22","402","439","-1.2"
"264","Army West Point","32","19-13","398","436","-1.2"
"","St. Francis Brooklyn","32","15-17","404","442","-1.2"
"266","UMKC","31","12-19","378","415","-1.2"
"267","Saint Peter's","30","14-16","356","392","-1.2"
"268","Arizona","33","25-8","383","423","-1.2"
"269","Alabama","32","18-14","387","426","-1.2"
"270","North Texas","32","12-20","403","443","-1.3"
"271","Loyola Maryland","30","9-21","353","392","-1.3"
"272","San Jose St.","31","9-22","387","428","-1.3"
"273","Arkansas St.","31","11-20","356","398","-1.4"
"","Missouri","31","10-21","344","386","-1.4"
"275","Coastal Caro.","29","18-11","319","359","-1.4"
"276","Northern Colo.","31","10-21","384","427","-1.4"
"277","Southeastern La.","33","12-21","457","504","-1.4"
"278","Hampton","31","21-10","388","433","-1.5"
"279","SIUE","28","6-22","336","377","-1.5"
"280","South Ala.","33","14-19","433","483","-1.5"
"281","Ohio","32","21-11","331","380","-1.5"
"282","Southern Miss.","29","8-21","343","388","-1.6"
"283","Sacred Heart","30","12-18","394","442","-1.6"
"","Binghamton","30","8-22","371","419","-1.6"
"285","Radford","31","16-15","366","416","-1.6"
"286","Cal St. Fullerton","30","10-20","344","393","-1.6"
"287","Pacific","28","8-20","337","383","-1.6"
"288","Maryland","33","25-8","370","425","-1.7"
"289","Brown","28","8-20","329","376","-1.7"
"290","Liberty","32","13-19","388","442","-1.7"
"","Ball St.","32","19-13","363","417","-1.7"
"292","San Diego","30","9-21","359","410","-1.7"
"293","Vanderbilt","32","19-13","319","374","-1.7"
"294","Vermont","34","21-13","392","451","-1.7"
"295","Penn","28","11-17","323","373","-1.8"
"296","Mercer","33","19-14","358","417","-1.8"
"297","American","31","12-19","372","428","-1.8"
"298","Nicholls St.","34","11-23","472","534","-1.8"
"299","Utah","34","26-8","355","418","-1.9"
"300","Belmont","31","20-11","380","438","-1.9"
"301","Boston U.","32","18-14","375","436","-1.9"
"302","Georgetown","33","15-18","376","442","-2.0"
"","Longwood","33","10-23","408","474","-2.0"
"304","Idaho","33","21-12","426","494","-2.1"
"305","Duquesne","32","16-16","377","445","-2.1"
"","Rutgers","32","7-25","375","443","-2.1"
"307","Houston Baptist","33","17-16","411","484","-2.2"
"308","UTRGV","30","8-22","307","374","-2.2"
"309","Michigan St.","34","29-5","325","402","-2.3"
"310","Weber St.","34","26-8","373","451","-2.3"
"311","Colorado","33","22-11","365","442","-2.3"
"312","Ark.-Pine Bluff","33","8-25","438","516","-2.4"
"313","Bryant","31","8-23","346","420","-2.4"
"314","Alcorn","30","15-15","357","429","-2.4"
