"Rank","Name","GM","W-L","Opp 3FGA","Opp 3FG","Pct"
"240","Brown","28","8-20","613","218","35.6"
"241","Sam Houston St.","34","18-16","717","255","35.6"
"242","Tennessee St.","30","20-10","672","239","35.6"
"243","Ill.-Chicago","30","5-25","632","225","35.6"
"244","Pittsburgh","32","21-11","612","218","35.6"
"245","Southern Miss.","29","8-21","699","249","35.6"
"246","Mercer","33","19-14","842","300","35.6"
"247","Cincinnati","32","22-10","648","231","35.6"
"248","Liberty","32","13-19","603","215","35.7"
"249","Niagara","32","7-25","673","240","35.7"
"250","Lafayette","30","6-24","669","239","35.7"
"251","Miami (OH)","33","13-20","730","261","35.8"
"252","Columbia","31","21-10","660","236","35.8"
"253","Central Conn. St.","29","4-25","581","208","35.8"
"254","Florida St.","32","19-13","684","245","35.8"
"255","Houston Baptist","33","17-16","656","235","35.8"
"256","Pacific","28","8-20","561","201","35.8"
"257","Washington St.","31","9-22","586","210","35.8"
"258","New Orleans","30","10-20","633","227","35.9"
"259","Arkansas","32","16-16","644","231","35.9"
"260","Kent St.","32","19-13","641","230","35.9"
"261","Sacred Heart","30","12-18","618","222","35.9"
"","Austin Peay","35","18-17","824","296","35.9"
"263","Cornell","28","10-18","612","220","35.9"
"264","North Texas","32","12-20","645","232","36.0"
"265","North Carolina","34","28-6","728","262","36.0"
"266","Lehigh","32","17-15","705","254","36.0"
"267","Richmond","32","16-16","602","217","36.0"
"268","La.-Lafayette","31","17-14","529","191","36.1"
"269","San Diego","30","9-21","490","177","36.1"
"270","Murray St.","31","17-14","528","191","36.2"
"271","Elon","32","16-16","605","219","36.2"
"272","Samford","33","14-19","682","247","36.2"
"273","Oregon","34","28-6","670","243","36.3"
"274","Tulsa","31","20-11","647","235","36.3"
"275","Green Bay","35","23-12","746","271","36.3"
"276","Drexel","31","6-25","520","189","36.3"
"277","Stanford","30","15-15","627","228","36.4"
"278","Tennessee Tech","30","19-11","635","231","36.4"
"279","Alcorn","30","15-15","591","215","36.4"
"280","Ohio","32","21-11","648","236","36.4"
"281","VMI","30","9-21","615","224","36.4"
"282","DePaul","31","9-22","675","246","36.4"
"283","Holy Cross","33","14-19","724","264","36.5"
"284","Vermont","34","21-13","652","238","36.5"
"285","Penn St.","32","16-16","615","225","36.6"
"","USC Upstate","32","10-22","738","270","36.6"
"","Missouri St.","32","13-19","656","240","36.6"
"288","Nebraska","34","16-18","620","227","36.6"
"289","Baylor","33","22-11","622","228","36.7"
"290","Oral Roberts","31","14-17","619","227","36.7"
"291","Utah","34","26-8","689","253","36.7"
"292","Montana St.","31","14-17","629","231","36.7"
"293","Charleston So.","30","9-21","658","242","36.8"
"294","Campbell","30","12-18","538","198","36.8"
"295","Norfolk St.","33","17-16","692","255","36.8"
"296","Drake","31","7-24","594","219","36.9"
"297","Coppin St.","31","9-22","602","222","36.9"
"298","Maine","30","8-22","593","219","36.9"
"299","Eastern Wash.","32","17-15","490","181","36.9"
"300","Lipscomb","33","12-21","825","305","37.0"
"301","St. John's (NY)","32","8-24","643","238","37.0"
"302","LIU Brooklyn","31","16-15","586","217","37.0"
"303","Western Ill.","27","10-17","475","176","37.1"
"304","Denver","31","16-15","520","193","37.1"
"305","SIUE","28","6-22","471","175","37.2"
"306","UNCG","32","14-18","721","268","37.2"
"307","Loyola Maryland","30","9-21","559","208","37.2"
"308","Rutgers","32","7-25","711","265","37.3"
"309","Colgate","30","13-17","595","222","37.3"
"310","Bowling Green","34","16-18","745","278","37.3"
"311","Longwood","33","10-23","819","306","37.4"
"312","Southeastern La.","33","12-21","717","268","37.4"
"313","La Salle","31","9-22","626","234","37.4"
"314","McNeese St.","29","9-20","551","206","37.4"
"315","North Carolina St.","33","16-17","735","275","37.4"
"316","Marshall","33","17-16","644","241","37.4"
"317","Loyola Marymount","31","14-17","667","250","37.5"
"318","Notre Dame","32","21-11","655","246","37.6"
"319","Eastern Ky.","31","15-16","668","251","37.6"
"320","Western Ky.","34","18-16","742","280","37.7"
"321","Portland St.","31","13-18","617","233","37.8"
"322","Wisconsin","32","20-12","499","189","37.9"
"323","Canisius","33","14-19","719","273","38.0"
"324","UMBC","32","7-25","668","254","38.0"
"325","Milwaukee","33","20-13","628","239","38.1"
"326","Portland","32","12-20","693","264","38.1"
"327","Chicago St.","32","4-28","763","291","38.1"
"328","Minnesota","31","8-23","616","235","38.1"
"329","Boston College","32","7-25","587","224","38.2"
"330","Marist","30","7-23","623","238","38.2"
"331","Northern Colo.","31","10-21","685","264","38.5"
"332","IPFW","33","24-9","703","271","38.5"
"333","Illinois","34","15-19","773","298","38.6"
"334","Appalachian St.","31","9-22","474","183","38.6"
"335","San Francisco","30","15-15","725","280","38.6"
"336","Toledo","32","17-15","691","267","38.6"
"337","CSUN","30","10-20","600","232","38.7"
"338","Northern Ariz.","30","5-25","692","268","38.7"
"339","Central Ark.","28","7-21","617","239","38.7"
"340","South Dakota","32","14-18","717","279","38.9"
"341","Cal Poly","30","10-20","547","213","38.9"
"342","Charlotte","33","14-19","672","264","39.3"
"343","Duquesne","32","16-16","765","306","40.0"
"344","UTSA","32","5-27","687","280","40.8"
"345","Rice","32","12-20","670","277","41.3"
"346","Southern Utah","29","5-24","537","226","42.1"
"NR","Grand Canyon","32","26-6","668","215","32.2"
"NR","Abilene Christian","31","13-18","486","168","34.6"
"NR","Northern Ky.","30","9-21","559","202","36.1"
"NR","Incarnate Word","29","17-12","575","208","36.2"
"NR","UMass Lowell","29","11-18","625","230","36.8"
